distribution_id,beneficiary_id,distribution_date,food_package_kg,enumerator,status,monthly_income_usd,vulnerability_score
1,1,2024-02-01,25,Enumerator_A,Completed,120,6.5
2,2,2024-02-01,25,Enumerator_A,Completed,85,7.2
3,3,2024-02-02,25,Enumerator_B,Completed,60,8.1
4,4,2024-02-02,25,Enumerator_B,Completed,90,7.5
5,5,2024-02-03,25,Enumerator_A,Completed,150,6.0
6,7,2024-02-04,25,Enumerator_B,Completed,45,9.2
7,8,2024-02-04,25,Enumerator_A,Completed,200,5.5
8,9,2024-02-05,25,Enumerator_C,Completed,95,7.8
9,10,2024-02-05,25,Enumerator_A,Completed,130,6.3
10,12,2024-02-06,25,Enumerator_B,Completed,55,8.8
11,13,2024-02-07,25,Enumerator_B,Pending,90,7.5
12,14,2024-02-07,25,Enumerator_A,Completed,110,6.8
13,15,2024-02-08,25,Enumerator_C,Completed,65,8.3
14,16,2024-02-08,25,Enumerator_A,Completed,140,6.1
15,18,2024-02-09,25,Enumerator_B,Completed,40,9.5
16,19,2024-02-10,25,Enumerator_C,Completed,75,8.2
17,21,2024-02-11,25,Enumerator_B,Completed,50,9.0
18,22,2024-02-11,25,Enumerator_B,Completed,95,7.4
19,23,2024-02-12,25,Enumerator_A,Completed,100,6.9
20,24,2024-02-12,25,Enumerator_C,Completed,70,8.4
